method,epochs,best50_epoch,P_at_best50,R_at_best50,mAP50,mAP50-95_at_best50,best95_epoch,P_at_best95,R_at_best95,mAP50_at_best95,mAP50-95,delta_mAP50_vs_final,delta_mAP50-95_vs_final
YOLOv8m baseline,existing,-,0.60865,0.51401,0.52276,,-,,,,0.32242,-0.023249999999999993,-0.016990000000000005
YOLOv8m+CBAM,80,79,0.61403,0.50664,0.51725,0.31488,71,0.62824,0.49997,0.51696,0.31574,-0.028760000000000008,-0.02366999999999997
YOLOv8m+ECA,80,71,0.61767,0.51115,0.51974,0.31712,71,0.61767,0.51115,0.51974,0.31712,-0.026270000000000016,-0.022289999999999976
YOLOv8m+C3TR Transformer,80,55,0.63606,0.51997,0.537,0.33144,55,0.63606,0.51997,0.537,0.33144,-0.009009999999999962,-0.007969999999999977
YOLO11m,80,55,0.6465,0.5476,0.55811,0.34747,55,0.6465,0.5476,0.55811,0.34747,0.0121,0.008060000000000012
RT-DETR-l,80,62,0.66321,0.56267,0.5354,0.33591,66,0.66718,0.5611,0.53493,0.33626,-0.010610000000000008,-0.003149999999999986
YOLOv8m+BiFPN+MixUp (final),80,74,0.63535,0.5325,0.54601,,46,0.63666,0.52698,0.54584,0.33941,0.0,0.0
